method,threshold_method,auroc,auprc,threshold,precision,recall,f1,accuracy,tn,fp,fn,tp,pa_precision,pa_recall,pa_f1,pa_accuracy,pa_tn,pa_fp,pa_fn,pa_tp
Autoencoder,train_q995,0.9469517992349535,0.5644903154036597,0.013954897141084072,0.13730886850152904,1.0,0.2414627588061307,0.40367812852311163,8764,16926,0,2694,0.13730886850152904,1.0,0.2414627588061307,0.40367812852311163,8764,16926,0,2694
Autoencoder,evt_pot,0.9469517992349535,0.5644903154036597,0.01423255656446098,0.1380830343413634,1.0,0.2426589803638984,0.40755355129650506,8874,16816,0,2694,0.1380830343413634,1.0,0.2426589803638984,0.40755355129650506,8874,16816,0,2694
MANTIS-9728,train_q995,0.8319324433316775,0.3273035186528992,1.1723131370407842,0.3144611186903138,0.6844840386043058,0.4309418088338397,0.828424464487035,21670,4020,850,1844,0.40125111706881145,1.0,0.5727040816326531,0.8583709131905298,21670,4020,0,2694
MANTIS-9728,evt_pot,0.8319324433316775,0.3273035186528992,1.171541476632047,0.3133491847826087,0.6848552338530067,0.42996970403169427,0.8276493799323562,21647,4043,849,1845,0.3998812527831379,1.0,0.5713073905206235,0.8575605975197295,21647,4043,0,2694
