epoch,train_loss,val_loss
1,0.354823003852021,0.23739572573657058
2,0.20551048996959115,0.1895127938787472
3,0.17092129313471444,0.15712081802820488
4,0.14002008506236588,0.12439699430634397
5,0.11522090396663472,0.1078601228953594
6,0.09890918259426984,0.0898857603108046
7,0.07951137234308066,0.07312456666270035
8,0.06872248482333304,0.0648956576217071
9,0.0607567270191378,0.05818910039281766
10,0.05664530134957298,0.058389657293896835
11,0.05273183270771531,0.05113362845274346
12,0.04852934525663773,0.04656371803961451
13,0.04534166491976811,0.044285960672572545
14,0.0412248488445135,0.040407753663293036
15,0.038561980882908416,0.03845425974423217
16,0.0357948078751936,0.03682039118376537
17,0.0339194915728051,0.032238591091698084
18,0.031418040257455176,0.029913034681344045
19,0.031218192331029328,0.02847029550043241
20,0.027596536821423972,0.029976387007286564
21,0.027353901026967744,0.02843529586574694
22,0.02675213184921928,0.02821932918808617
23,0.025717567750918532,0.025452665479070182
24,0.024777230010110896,0.031392621172971986
25,0.02424560252541463,0.02370095378917479
26,0.026650361777418582,0.023333286872723603
27,0.022463940833470895,0.022778528502067852
28,0.022259619369265838,0.02353812126785665
29,0.021054056220400373,0.021273150616889173
30,0.021069498415887414,0.019918402858725103
31,0.02074106950120303,0.018917288199775516
32,0.019371180819655942,0.018261649200539354
33,0.01849690400483968,0.018239038837316816
34,0.0179994455893817,0.02038098786349551
35,0.01706873265776063,0.017941231689544063
36,0.016427865233370406,0.03479345050069461
37,0.016651615433602718,0.01549361598708308
38,0.015653440715159814,0.015275209063057613
39,0.014650911242438265,0.014122629897527895
40,0.014365886480650847,0.015601895016454873
41,0.0138889070903991,0.012996185500423937
42,0.012954812555937001,0.014872166910401823
43,0.01256656434378976,0.012028162652341419
44,0.013174393341622436,0.011530582727159072
45,0.014667991250869658,0.04086250774747697
46,0.015444448207940463,0.010891311767476576
47,0.01091036382046811,0.010445563371291702
48,0.01053709643110938,0.011573870456790383
49,0.010681562696247334,0.011159380871108581
50,0.010286919376445033,0.010454835246109613
51,0.010336636032299536,0.012831387796319276
52,0.01083024592333738,0.010136913181261472
53,0.009784007254426292,0.010409922452798991
54,0.0096477612904639,0.009444611438438338
55,0.009875331696152675,0.010059658537328969
56,0.009311594420861252,0.009473086941746338
57,0.009518905400013527,0.00955930690401048
58,0.008951903811668835,0.011559160856139832
59,0.01006514838609139,0.009209598666350443
60,0.008976919337836812,0.009672138918213847
61,0.008735246315485138,0.009395627894388865
62,0.00828859753558321,0.00801229860063183
63,0.009446982821289421,0.00911500147348728
64,0.007651105910025192,0.007960713742380152
65,0.008280333593670844,0.008744411302278423
66,0.009160706291844593,0.010100312274095595
67,0.007555173448956697,0.007445788739435477
68,0.007488753478857847,0.008048541476304455
69,0.007492097393106956,0.007852597122485793
70,0.007422322529252391,0.0071135458962208265
71,0.007565032940896336,0.007088454971023031
72,0.007172152351152776,0.00877817748026946
73,0.007615367947166278,0.007368848939679024
74,0.006833159092374862,0.007342195539900517
75,0.006929402278584737,0.009915527541163614
76,0.007105096595179088,0.00643379486955171
77,0.00804429136658778,0.0060553524129385115
78,0.006607252965303966,0.006675106639556294
79,0.0065962825662935825,0.009809231684703304
80,0.006742296990908876,0.005944679999613857
